Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,44.15500817710262,2.572,,,,,,211.0963582,8.106,False
1,2010-02-12,44.66592930201295,2.548,,,,,,211.2421698,8.106,True
1,2010-02-19,42.71478441071568,2.514,,,,,,211.2891429,8.106,False
1,2010-02-26,42.415010439368594,2.561,,,,,,211.3196429,8.106,False
1,2010-03-05,46.94820475598247,2.625,,,,,,211.3501429,8.106,False
1,2010-03-12,,2.667,,,,,,211.3806429,8.106,False
1,2010-03-19,52.277886665488985,2.72,,,,,,211.215635,8.106,False
1,2010-03-26,54.3359713764316,2.732,,,,,,211.0180424,8.106,False
1,2010-04-02,57.798378738338606,2.719,,,,,,210.8204499,7.808,False
1,2010-04-09,66.37096677151547,2.77,,,,,,210.6228574,7.808,False
1,2010-04-16,,2.808,,,,,,210.4887,7.808,False
1,2010-04-23,65.77980557397655,2.795,,,,,,210.4391228,7.808,False
1,2010-04-30,69.55313168178391,2.78,,,,,,210.3895456,7.808,False
1,2010-05-07,73.2494619489046,2.835,,,,,,210.3399684,7.808,False
1,2010-05-14,80.43172989323763,2.854,,,,,,210.3374261,7.808,False
1,2010-05-21,81.20721626808896,2.826,,,,,,210.6170934,7.808,False
1,2010-05-28,84.25263027747606,2.759,,,,,,210.8967606,7.808,False
1,2010-06-04,86.68719569923796,2.705,,,,,,211.1764278,7.808,False
1,2010-06-11,77.34257346306681,2.668,,,,,,211.4560951,7.808,False
1,2010-06-18,89.23217357795897,2.637,,,,,,211.4537719,7.808,False
1,2010-06-25,78.41518811484156,2.653,,,,,,211.3386526,7.808,False
1,2010-07-02,94.46347810161257,2.669,,,,,,211.2235333,7.787,False
1,2010-07-09,79.10448222729669,2.642,,,,,,211.108414,7.787,False
1,2010-07-16,89.33541899784751,2.623,,,,,,211.1003854,7.787,False
1,2010-07-23,83.45075722790376,2.608,,,,,,211.2351443,7.787,False
1,2010-07-30,79.4807372876539,2.64,,,,,,211.3699032,7.787,False
1,2010-08-06,82.17550468086758,2.627,,,,,,211.5046621,7.787,False
1,2010-08-13,89.21563168449637,2.692,,,,,,211.6394211,7.787,False
1,2010-08-20,89.11530885967518,2.664,,,,,,211.6033633,7.787,False
1,2010-08-27,85.802165496076,2.619,,,,,,211.5673056,7.787,False
1,2010-09-03,85.9173431665227,2.577,,,,,,211.5312479,7.787,False
1,2010-09-10,68.92413144364521,2.565,,,,,,211.4951902,7.787,True
1,2010-09-17,,2.582,,,,,,211.5224596,7.787,False
1,2010-09-24,79.42781431509097,2.624,,,,,,211.5972246,7.787,False
1,2010-10-01,75.70319943270908,2.603,,,,,,211.6719895,7.838,False
1,2010-10-08,68.03262637327512,2.633,,,,,,211.7467544,7.838,False
1,2010-10-15,60.549653351527255,2.72,,,,,,211.8137436,7.838,False
